Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Alder,0,82,84,83,66,70,60,100,85,96,91,99,92,52,73,74,75,87,98,100,64,48,98,77,73,60,79,97,59,91,87,69,12,65,70,85,86,82,32,47,90,9,92,96,90,95,96,98,87,100,86,29,73,93,100,64,65,97,73,89,96,80,77,46,46,78,95,91,94,72,62,91,88
Benga,18,0,70,49,85,63,0,86,75,69,66,98,28,17,84,83,75,73,96,100,82,29,81,40,93,97,22,95,85,81,47,96,4,21,52,68,72,74,27,26,16,61,61,99,28,87,100,92,4,89,55,3,6,70,23,12,54,34,26,68,58,92,52,11,71,68,99,64,93,10,31,6,100
Bianca,16,30,0,34,49,19,67,14,34,35,64,75,4,43,50,67,64,75,24,66,53,30,94,35,12,46,2,32,66,51,26,41,35,25,42,52,46,41,29,49,49,24,63,94,33,17,8,37,12,85,4,19,32,28,0,47,50,39,30,86,97,51,66,1,4,69,96,13,56,13,38,59,67
Blaine,17,51,66,0,37,54,12,99,88,60,73,25,88,99,36,54,47,48,65,99,60,10,47,35,52,34,45,65,57,44,39,74,4,55,54,60,49,10,7,11,21,1,94,84,34,48,46,92,15,98,32,4,29,51,96,89,50,77,44,60,81,57,8,4,53,59,39,98,69,22,75,66,77
Blue,34,15,51,63,0,56,65,82,70,73,91,31,55,92,45,63,60,98,87,88,73,73,73,37,53,82,17,49,34,44,64,40,33,59,29,43,37,45,32,53,25,56,75,62,58,62,49,85,7,74,14,53,0,85,49,65,65,70,27,93,94,59,4,1,30,85,97,63,48,2,27,96,69
Brawly,30,37,81,46,44,0,65,97,20,88,100,97,6,100,95,92,94,94,86,76,28,22,76,53,44,80,4,59,48,0,70,55,10,76,68,87,78,49,7,50,72,36,99,86,73,32,25,95,2,97,3,65,43,96,11,91,84,91,34,98,95,62,38,5,28,84,96,34,95,38,39,100,48
Brock,40,100,33,88,35,35,0,82,85,60,94,85,96,5,57,82,43,97,14,45,68,25,97,2,40,86,67,19,63,87,100,18,39,60,47,63,33,42,48,9,2,64,38,86,82,23,0,80,4,99,39,35,14,75,90,2,29,58,29,81,48,59,72,40,16,52,96,100,4,8,72,46,91
Brycen,0,14,86,1,18,3,18,0,4,4,13,45,78,49,18,25,63,9,8,100,93,17,36,1,25,46,1,57,40,95,1,51,13,7,4,34,35,62,16,5,3,45,22,59,19,39,0,10,31,84,6,7,5,7,67,2,13,19,27,58,23,15,33,3,26,20,56,63,56,6,9,36,87
Bugsy,15,25,66,12,30,80,15,96,0,82,30,100,52,46,15,12,13,36,68,99,14,6,98,89,12,18,11,75,5,83,24,95,2,56,12,13,22,9,13,11,60,1,46,99,99,44,59,66,44,74,34,15,57,63,48,70,38,91,53,48,70,48,60,0,10,20,97,41,99,74,65,62,28
Burgh,4,31,65,40,27,12,40,96,18,0,38,100,48,67,30,42,47,32,23,100,22,12,77,82,28,19,5,93,4,83,19,89,5,54,17,35,51,14,18,8,76,4,64,100,53,41,7,65,28,81,42,22,63,79,51,69,72,70,81,82,79,53,96,4,9,57,100,92,98,70,16,80,31
Byron,9,34,36,27,9,0,6,87,70,62,0,11,55,35,45,59,56,39,2,60,7,0,79,1,6,20,13,35,66,38,19,5,1,14,6,7,5,27,16,4,11,1,37,20,48,46,2,1,2,86,16,1,4,33,53,11,35,61,21,44,70,42,15,0,35,32,23,69,1,4,41,28,33
Caitlin,1,2,25,75,69,3,15,55,0,0,89,0,1,61,15,40,23,24,99,73,56,5,89,13,6,0,6,83,33,0,7,3,10,4,7,24,2,22,19,68,58,0,53,27,16,19,86,73,5,23,0,2,29,0,7,97,43,68,40,84,93,2,0,0,5,61,7,16,94,8,35,93,81
Candice,8,72,96,12,45,94,4,22,48,52,45,99,0,23,78,73,84,48,89,100,100,57,95,66,91,95,58,67,82,97,29,86,44,40,47,69,82,62,50,57,4,85,57,99,81,52,94,98,9,100,12,13,23,86,67,54,57,40,75,57,52,79,67,2,57,75,87,100,83,6,81,32,86
Cheren,48,83,57,1,8,0,95,51,54,33,65,39,77,0,29,69,74,17,20,94,84,21,99,68,39,38,5,25,94,97,15,49,7,38,44,68,65,48,33,20,96,17,36,100,47,99,5,3,65,98,81,28,65,47,85,45,16,92,41,93,78,37,84,26,84,65,72,28,82,54,11,48,100
Cheren_Fire,27,16,50,64,55,5,43,82,85,70,55,85,22,71,0,66,56,89,16,91,11,12,77,30,16,35,12,39,82,20,69,43,8,25,48,61,53,46,10,1,43,10,68,85,12,37,11,5,5,95,12,4,7,78,25,13,18,65,55,73,74,17,17,1,44,58,78,40,21,12,24,63,78
Cheren_Grass,26,17,33,46,37,8,18,75,88,58,41,60,27,31,34,0,39,65,10,97,17,12,48,20,7,17,12,53,61,12,48,38,1,19,22,25,33,25,14,3,14,16,30,63,18,24,4,1,3,84,8,10,4,73,19,13,22,54,26,85,85,5,13,0,35,48,77,35,24,5,23,16,32
Cheren_Water,25,25,36,53,40,6,57,37,87,53,44,77,16,26,44,61,0,69,18,85,43,13,56,22,7,46,7,43,73,12,45,49,18,16,35,40,27,39,15,4,19,20,37,71,10,37,10,0,2,87,9,9,13,66,14,17,17,31,11,91,68,4,15,0,45,73,94,39,20,15,11,21,63
