Trainer,Placement,wins,losses,ties,easiest_opponent,toughest_opponent,win_loss_ratio,AbilityScore,Tier,Elo
Shauntal,1,6630,570,0,['Cress'],['Grimsley'],11.63157894736842,41.50684931507128,S,1998
Janine,2,5900,1300,0,['Roxanne'],['Norman'],4.538461538461538,31.50684931507121,S,1878
Alder,3,5777,1423,0,['Morimoto'],['Giovanni'],4.0597329585383,29.82191780822244,S,1858
Misty,4,5748,1452,0,['Lt.Surge'],['Alder'],3.958677685950413,29.42465753424914,S,1853
Nishino,5,5494,1706,0,['Brock'],['Shauntal'],3.220398593200469,25.94520547945456,S,1811
Morty,6,5463,1737,0,['Chuck'],['Shauntal'],3.145077720207254,25.520547945208435,S,1806
Lance,7,5098,2102,0,['Steven'],['Nishino'],2.4253092293054235,20.520547945208328,S,1746
Cynthia,8,4888,2312,0,['Chili'],['Shauntal'],2.114186851211073,17.643835616441077,A,1712
Skyla,9,4786,2414,0,['Marshal'],['Nishino'],1.9826014913007457,16.246575342468503,A,1695
Clay,10,4754,2446,0,['Chili'],['Janine'],1.9435813573180705,15.80821917808499,A,1690
Elesa,11,4683,2517,0,['Cilan'],['Shauntal'],1.8605482717520856,14.835616438358988,A,1678
Jasmine,12,4649,2551,0,['Cheren_Grass'],['Sabrina'],1.822422579380635,14.369863013701508,A,1672
Giovanni,13,4583,2617,0,['Flannery'],['Janine'],1.7512418800152847,13.46575342466042,A,1662
Sabrina,14,4564,2636,0,['Winona'],['Burgh'],1.7314112291350532,13.20547945205779,A,1658
Wallace,15,4542,2658,0,['Tate'],['Roxanne'],1.7088036117381489,12.904109589044037,A,1655
Grimsley,16,4535,2665,0,['Cilan'],['Giovanni'],1.701688555347092,12.808219178085045,A,1654
Red,17,4425,2775,0,['Morimoto'],['Shauntal'],1.5945945945945943,11.301369863016635,A,1636
N_Spring,18,4384,2816,0,['Roark'],['Shauntal'],1.556818181818182,10.739726027399994,A,1629
Brawly,19,4337,2863,0,['Byron'],['Fantina'],1.5148445686342995,10.095890410961834,A,1621
N_Autumn,20,4321,2879,0,['Tate'],['Chuck'],1.5008683570684265,9.876712328770092,A,1619
Norman,21,4289,2911,0,['Morimoto'],['Shauntal'],1.4733768464445207,9.438356164386365,A,1613
Benga,22,4160,3040,0,['Winona'],['Misty'],1.368421052631579,7.671232876715184,A,1592
Cress,23,4094,3106,0,['Brycen'],['Misty'],1.31809401159047,6.767123287674035,A,1581
Hugh_Fire,24,4085,3115,0,['Liza'],['Shauntal'],1.3113964686998394,6.643835616441132,A,1580
Iris,25,3986,3214,0,['N_Summer'],['Shauntal'],1.24019912881145,5.2876712328794495,A,1563
Blue,26,3986,3214,0,['Tate'],['Misty'],1.24019912881145,5.287671232879583,A,1563
Roxie,27,3959,3241,0,['Roxanne'],['Lance'],1.2215365627892625,4.917808219180885,A,1559
Marshal,28,3959,3241,0,['Lenora'],['Fantina'],1.2215365627892625,4.917808219180909,A,1559
Cheren,29,3931,3269,0,['Liza'],['Brawly'],1.2025084123585197,4.534246575345335,A,1554
Wattson,30,3859,3341,0,['Morimoto'],['Marshal'],1.1550434001795868,3.5479452054823017,A,1543
Hugh_Water,31,3761,3439,0,['N_Summer'],['Shauntal'],1.0936318697295726,2.205479452057568,B,1526
